Id Usuario,Marca de tiempo inicial,Marca de tiempo final,Tiempo de computo 1,Tiempo de computo 2,Tiempo de computo 3,Tx 1 (dBm),Tx 2 (dBm),Tx 3 (dBm),Lugar
1,2021-02-08T17:37:09.778576,2021-02-08T17:37:11.046083,110,0,0,-72.0,0,0,
1,2021-02-08T17:37:11.046083,2021-02-08T17:37:12.265139,110,0,0,-45.0,0,0,
1,2021-02-08T17:37:11.728850,2021-02-08T17:37:12.995856,110,0,0,-76.0,0,0,
1,2021-02-08T17:37:12.265139,2021-02-08T17:37:13.678632,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:12.995856,2021-02-08T17:37:14.214598,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:13.678632,2021-02-08T17:37:14.897321,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:14.214598,2021-02-08T17:37:15.384665,110,110,0,-75.0,-60.0,0,
1,2021-02-08T17:37:14.897321,2021-02-08T17:37:16.120362,110,110,110,-75.0,-61.0,-76.0,
1,2021-02-08T17:37:15.384665,2021-02-08T17:37:16.457373,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:15.872379,2021-02-08T17:37:17.042199,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:16.457373,2021-02-08T17:37:17.627381,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:17.042199,2021-02-08T17:37:18.114675,110,110,0,-75.0,-61.0,0,
1,2021-02-08T17:37:17.627381,2021-02-08T17:37:18.797682,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:18.114675,2021-02-08T17:37:19.284716,110,0,0,-73.0,0,0,
1,2021-02-08T17:37:18.797682,2021-02-08T17:37:20.406347,110,0,0,-76.0,0,0,
1,2021-02-08T17:37:19.284716,2021-02-08T17:37:20.406347,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:19.772433,2021-02-08T17:37:21.088529,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:20.406347,2021-02-08T17:37:21.575950,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:21.088529,2021-02-08T17:37:22.745970,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:21.575950,2021-02-08T17:37:22.745970,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:22.063680,2021-02-08T17:37:23.079996,110,110,0,-73.0,-59.0,0,
1,2021-02-08T17:37:22.745970,2021-02-08T17:37:23.867243,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:23.282249,2021-02-08T17:37:24.354956,110,0,110,-75.0,0,-78.0,
1,2021-02-08T17:37:23.867243,2021-02-08T17:37:25.037464,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:24.354956,2021-02-08T17:37:25.525012,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:25.037464,2021-02-08T17:37:26.646364,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:25.525012,2021-02-08T17:37:26.646364,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:26.012269,2021-02-08T17:37:27.328470,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:26.646364,2021-02-08T17:37:27.816157,110,0,0,-73.0,0,0,
1,2021-02-08T17:37:27.328470,2021-02-08T17:37:29.035186,110,0,0,-72.0,0,0,
1,2021-02-08T17:37:27.816157,2021-02-08T17:37:29.035186,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:28.303549,2021-02-08T17:37:29.522647,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:29.035186,2021-02-08T17:37:30.107650,110,0,0,-76.0,0,0,
1,2021-02-08T17:37:29.522647,2021-02-08T17:37:30.692300,110,0,0,-76.0,0,0,
1,2021-02-08T17:37:30.107650,2021-02-08T17:37:31.326453,110,0,0,-76.0,0,0,
1,2021-02-08T17:37:30.692300,2021-02-08T17:37:31.814020,110,0,0,-76.0,0,0,
1,2021-02-08T17:37:31.326453,2021-02-08T17:37:32.447820,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:31.814020,2021-02-08T17:37:33.032364,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:32.447820,2021-02-08T17:37:33.617831,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:33.032364,2021-02-08T17:37:34.105071,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:33.617831,2021-02-08T17:37:34.787539,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:34.105071,2021-02-08T17:37:35.275288,110,0,110,-74.0,0,-75.0,
1,2021-02-08T17:37:34.787539,2021-02-08T17:37:35.953971,110,0,110,-77.0,0,-71.0,
1,2021-02-08T17:37:35.275288,2021-02-08T17:37:36.396060,110,0,0,-77.0,0,0,
1,2021-02-08T17:37:35.762797,2021-02-08T17:37:36.932680,110,0,110,-73.0,0,-76.0,
1,2021-02-08T17:37:36.396060,2021-02-08T17:37:37.517506,110,0,0,-75.0,0,0,
1,2021-02-08T17:37:36.932680,2021-02-08T17:37:38.054041,110,0,110,-72.0,0,-72.0,
1,2021-02-08T17:37:37.517506,2021-02-08T17:37:38.736080,110,0,110,-74.0,0,-76.0,
1,2021-02-08T17:37:38.054041,2021-02-08T17:37:39.122868,110,0,110,-74.0,0,-75.0,
1,2021-02-08T17:37:38.736080,2021-02-08T17:37:39.857560,110,0,110,-75.0,0,-70.0,
1,2021-02-08T17:37:39.223667,2021-02-08T17:37:40.292617,110,0,110,-75.0,0,-71.0,
1,2021-02-08T17:37:39.857560,2021-02-08T17:37:41.027535,110,0,110,-77.0,0,-75.0,
1,2021-02-08T17:37:40.442565,2021-02-08T17:37:41.462809,110,0,110,-74.0,0,-73.0,
1,2021-02-08T17:37:41.027535,2021-02-08T17:37:42.096402,110,0,110,-74.0,0,-69.0,
1,2021-02-08T17:37:41.515324,2021-02-08T17:37:42.632561,110,0,110,-73.0,0,-72.0,
1,2021-02-08T17:37:42.002549,2021-02-08T17:37:43.119864,110,0,110,-77.0,0,-73.0,
1,2021-02-08T17:37:42.685077,2021-02-08T17:37:43.753941,110,0,110,-77.0,0,-70.0,
1,2021-02-08T17:37:43.172382,2021-02-08T17:37:44.241362,110,0,110,-73.0,0,-75.0,
1,2021-02-08T17:37:43.759558,2021-02-08T17:37:44.777572,110,0,110,-77.0,0,-76.0,
1,2021-02-08T17:37:44.342425,2021-02-08T17:37:45.411366,110,0,110,-74.0,0,-77.0,
1,2021-02-08T17:37:44.928161,2021-02-08T17:37:45.948041,110,0,110,-76.0,0,-73.0,
1,2021-02-08T17:37:45.415175,2021-02-08T17:37:46.581151,110,0,110,-75.0,0,-71.0,
1,2021-02-08T17:37:45.902604,2021-02-08T17:37:47.068894,110,0,110,-77.0,0,-73.0,
1,2021-02-08T17:37:46.585256,2021-02-08T17:37:47.653668,110,0,110,-76.0,0,-77.0,
1,2021-02-08T17:37:47.218672,2021-02-08T17:37:48.389005,110,0,110,-75.0,0,-74.0,
1,2021-02-08T17:37:47.706179,2021-02-08T17:37:48.823639,110,0,110,-74.0,0,-77.0,
1,2021-02-08T17:37:48.389005,2021-02-08T17:37:49.413076,119,0,110,-77.0,0,-74.0,
1,2021-02-08T17:37:48.876191,2021-02-08T17:37:50.094890,110,0,110,-74.0,0,-77.0,
1,2021-02-08T17:37:49.413076,2021-02-08T17:37:50.481414,110,0,110,-75.0,0,-75.0,
1,2021-02-08T17:37:50.094890,2021-02-08T17:37:51.163688,110,0,110,-74.0,0,-72.0,
1,2021-02-08T17:37:50.582505,2021-02-08T17:37:51.651437,110,0,110,-73.0,0,-77.0,
1,2021-02-08T17:37:51.167766,2021-02-08T17:37:55.068259,110,0,0,-73.0,0,0,
1,2021-02-08T17:37:51.704305,2021-02-08T17:37:55.068259,110,0,0,-74.0,0,0,
1,2021-02-08T17:37:55.068259,2021-02-08T17:37:56.188913,110,0,110,-72.0,0,-69.0,
1,2021-02-08T17:37:55.603668,2021-02-08T17:37:56.676368,110,0,110,-75.0,0,-70.0,
1,2021-02-08T17:37:56.188913,2021-02-08T17:37:57.501729,110,0,110,-78.0,0,-71.0,
1,2021-02-08T17:37:56.676368,2021-02-08T17:37:57.797653,110,0,110,-75.0,0,-76.0,
1,2021-02-08T17:37:57.164156,2021-02-08T17:37:58.284980,110,0,110,-73.0,0,-73.0,
1,2021-02-08T17:37:57.797653,2021-02-08T17:37:59.158920,110,0,110,-73.0,0,-74.0,
1,2021-02-08T17:37:58.284980,2021-02-08T17:37:59.357472,110,0,110,-73.0,0,-80.0,
1,2021-02-08T17:37:58.772613,2021-02-08T17:37:59.893730,110,0,110,-76.0,0,-75.0,
1,2021-02-08T17:37:59.357472,2021-02-08T17:38:00.479173,110,0,110,-74.0,0,-70.0,
1,2021-02-08T17:37:59.893730,2021-02-08T17:38:00.966458,110,0,110,-74.0,0,-77.0,
1,2021-02-08T17:38:00.479173,2021-02-08T17:38:01.648786,110,0,110,-76.0,0,-76.0,
1,2021-02-08T17:38:00.966458,2021-02-08T17:38:02.136287,110,0,110,-78.0,0,-77.0,
1,2021-02-08T17:38:01.648786,2021-02-08T17:38:02.672644,110,0,110,-76.0,0,-75.0,
1,2021-02-08T17:38:02.136287,2021-02-08T17:38:03.355034,110,0,110,-75.0,0,-77.0,
1,2021-02-08T17:38:02.672644,2021-02-08T17:38:03.989108,110,0,110,-76.0,0,-76.0,
