Id Usuario,Marca de tiempo inicial,Marca de tiempo final,Tiempo de computo 1,Tiempo de computo 2,Tiempo de computo 3,Tx 1 (dBm),Tx 2 (dBm),Tx 3 (dBm),Lugar
1,2021-02-08T17:26:57.429040,2021-02-08T17:26:58.216822,110,110,110,-52.0,-68.0,-69.0,
1,2021-02-08T17:26:58.111292,2021-02-08T17:27:00.264014,110,0,1040,-42.0,0,-69.0,
1,2021-02-08T17:27:00.264014,2021-02-08T17:27:01.677499,0,0,110,0,0,-75.0,
1,2021-02-08T17:27:00.800019,2021-02-08T17:27:02.116466,0,0,110,0,0,-75.0,
1,2021-02-08T17:27:01.190210,2021-02-08T17:27:02.604026,0,0,110,0,0,-74.0,
1,2021-02-08T17:27:01.677499,2021-02-08T17:27:03.140015,0,0,110,0,0,-70.0,
1,2021-02-08T17:27:02.116466,2021-02-08T17:27:03.140015,0,0,110,0,0,-69.0,
1,2021-02-08T17:27:02.604026,2021-02-08T17:27:03.627780,110,0,110,-53.0,0,-72.0,
1,2021-02-08T17:27:03.140015,2021-02-08T17:27:04.156345,110,0,110,-50.0,0,-73.0,
1,2021-02-08T17:27:03.627780,2021-02-08T17:27:04.943833,110,0,110,-59.0,0,-65.0,
1,2021-02-08T17:27:04.066273,2021-02-08T17:27:05.431486,110,0,110,-53.0,0,-74.0,
1,2021-02-08T17:27:04.554012,2021-02-08T17:27:05.821290,110,0,110,-56.0,0,-71.0,
1,2021-02-08T17:27:04.943833,2021-02-08T17:27:06.106351,110,0,110,-52.0,0,-77.0,
1,2021-02-08T17:27:05.431486,2021-02-08T17:27:06.593862,110,0,110,-55.0,0,-77.0,
1,2021-02-08T17:27:05.821290,2021-02-08T17:27:06.942570,0,0,110,0,0,-73.0,
1,2021-02-08T17:27:06.357825,2021-02-08T17:27:07.820357,0,0,110,0,0,-72.0,
1,2021-02-08T17:27:06.942570,2021-02-08T17:27:08.007772,110,0,110,-55.0,0,-70.0,
1,2021-02-08T17:27:07.332795,2021-02-08T17:27:08.697838,0,0,110,0,0,-75.0,
1,2021-02-08T17:27:07.820357,2021-02-08T17:27:09.031380,110,0,110,-53.0,0,-72.0,
1,2021-02-08T17:27:08.210341,2021-02-08T17:27:09.519112,110,0,110,-59.0,0,-71.0,
1,2021-02-08T17:27:08.697838,2021-02-08T17:27:10.111519,0,0,110,0,0,-74.0,
1,2021-02-08T17:27:09.136350,2021-02-08T17:27:10.396383,110,0,110,-56.0,0,-75.0,
1,2021-02-08T17:27:09.623922,2021-02-08T17:27:10.835127,110,0,110,-57.0,0,-76.0,
1,2021-02-08T17:27:10.111519,2021-02-08T17:27:11.573861,0,0,110,0,0,-74.0,
1,2021-02-08T17:27:10.501356,2021-02-08T17:27:11.573861,0,0,110,0,0,-76.0,
1,2021-02-08T17:27:11.037828,2021-02-08T17:27:12.200157,110,0,110,-58.0,0,-73.0,
1,2021-02-08T17:27:11.573861,2021-02-08T17:27:12.638910,110,0,110,-55.0,0,-75.0,
1,2021-02-08T17:27:11.964063,2021-02-08T17:27:13.329170,110,0,110,-59.0,0,-76.0,
1,2021-02-08T17:27:12.451369,2021-02-08T17:27:13.516508,110,0,110,-55.0,0,-75.0,
1,2021-02-08T17:27:12.841719,2021-02-08T17:27:13.955191,110,0,110,-56.0,0,-75.0,
1,2021-02-08T17:27:13.329170,2021-02-08T17:27:14.540206,110,0,110,-57.0,0,-76.0,
1,2021-02-08T17:27:13.767771,2021-02-08T17:27:14.791627,0,0,110,0,0,-76.0,
1,2021-02-08T17:27:14.206361,2021-02-08T17:27:15.230151,110,0,110,-56.0,0,-78.0,
1,2021-02-08T17:27:14.791627,2021-02-08T17:27:16.254080,0,0,110,0,0,-78.0,
1,2021-02-08T17:27:15.230151,2021-02-08T17:27:16.254080,0,0,110,0,0,-76.0,
1,2021-02-08T17:27:15.766589,2021-02-08T17:27:16.880378,110,0,110,-59.0,0,-76.0,
1,2021-02-08T17:27:16.254080,2021-02-08T17:27:17.319137,110,0,110,-58.0,0,-75.0,
