Id Usuario,Marca de tiempo inicial,Marca de tiempo final,Tiempo de computo 1,Tiempo de computo 2,Tiempo de computo 3,Tx 1 (dBm),Tx 2 (dBm),Tx 3 (dBm),Lugar
1,2021-02-08T17:59:25.510166,2021-02-08T17:59:26.343313,110,110,110,-70.0,-72.0,-58.0,
1,2021-02-08T17:59:26.289982,2021-02-08T17:59:27.122522,1010,110,110,-70.0,-70.0,-58.0,
1,2021-02-08T17:59:27.846474,2021-02-08T17:59:28.975293,0,110,110,0,-68.0,-58.0,
1,2021-02-08T17:59:28.675119,2021-02-08T17:59:29.804345,0,110,110,0,-67.0,-58.0,
1,2021-02-08T17:59:29.504039,2021-02-08T17:59:30.527791,0,110,110,0,-68.0,-58.0,
1,2021-02-08T17:59:30.527791,2021-02-08T17:59:32.185360,0,110,110,0,-69.0,-58.0,
1,2021-02-08T17:59:31.307578,2021-02-08T17:59:32.485275,0,110,110,0,-68.0,-58.0,
1,2021-02-08T17:59:32.185360,2021-02-08T17:59:33.265815,0,110,110,0,-69.0,-57.0,
1,2021-02-08T17:59:33.014091,2021-02-08T17:59:34.093844,0,110,110,0,-67.0,-57.0,
1,2021-02-08T17:59:33.794065,2021-02-08T17:59:34.922974,0,110,110,0,-69.0,-59.0,
1,2021-02-08T17:59:34.922974,2021-02-08T17:59:35.947199,0,110,110,0,-68.0,-60.0,
1,2021-02-08T17:59:35.744092,2021-02-08T17:59:36.775416,0,110,110,0,-70.0,-58.0,
1,2021-02-08T17:59:36.775416,2021-02-08T17:59:37.649277,110,110,110,-66.0,-70.0,-57.0,
1,2021-02-08T17:59:37.603908,2021-02-08T17:59:38.815757,0,110,110,0,-70.0,-56.0,
1,2021-02-08T17:59:38.433244,2021-02-08T17:59:39.208882,110,110,110,-68.0,-69.0,-57.0,
1,2021-02-08T17:59:39.505501,2021-02-08T17:59:40.086681,110,110,110,-71.0,-68.0,-59.0,
1,2021-02-08T17:59:40.549520,2021-02-08T17:59:41.594437,110,0,110,-68.0,0,-58.0,
1,2021-02-08T17:59:41.061627,2021-02-08T17:59:42.329234,110,0,110,-70.0,0,-58.0,
1,2021-02-08T17:59:41.500447,2021-02-08T17:59:42.667079,110,0,110,-69.0,0,-57.0,
1,2021-02-08T17:59:41.939139,2021-02-08T17:59:43.353057,110,0,0,-69.0,0,0,
1,2021-02-08T17:59:42.329234,2021-02-08T17:59:43.353057,110,0,0,-67.0,0,0,
1,2021-02-08T17:59:42.914058,2021-02-08T17:59:44.376765,110,0,110,-70.0,0,-58.0,
1,2021-02-08T17:59:43.353057,2021-02-08T17:59:44.376765,110,0,0,-70.0,0,0,
1,2021-02-08T17:59:43.889262,2021-02-08T17:59:45.303017,110,0,110,-70.0,0,-59.0,
1,2021-02-08T17:59:44.376765,2021-02-08T17:59:45.396644,110,0,110,-69.0,0,-58.0,
1,2021-02-08T17:59:44.766685,2021-02-08T17:59:46.131560,110,0,0,-69.0,0,0,
1,2021-02-08T17:59:45.303017,2021-02-08T17:59:46.521796,110,0,110,-69.0,0,-59.0,
1,2021-02-08T17:59:45.692802,2021-02-08T17:59:47.009318,110,0,0,-72.0,0,0,
1,2021-02-08T17:59:46.131560,2021-02-08T17:59:47.297827,110,0,110,-72.0,0,-58.0,
1,2021-02-08T17:59:46.521796,2021-02-08T17:59:47.886863,110,0,0,-78.0,0,0,
1,2021-02-08T17:59:47.009318,2021-02-08T17:59:48.175315,110,0,110,-75.0,0,-57.0,
1,2021-02-08T17:59:47.399086,2021-02-08T17:59:48.813111,110,0,0,-71.0,0,0,
1,2021-02-08T17:59:47.886863,2021-02-08T17:59:49.248079,110,0,110,-73.0,0,-58.0,
1,2021-02-08T17:59:48.276593,2021-02-08T17:59:49.349301,110,0,0,-69.0,0,0,
1,2021-02-08T17:59:48.813111,2021-02-08T17:59:50.125346,110,110,110,-70.0,-67.0,-58.0,
1,2021-02-08T17:59:49.349301,2021-02-08T17:59:50.567816,110,0,0,-69.0,0,0,
1,2021-02-08T17:59:49.739096,2021-02-08T17:59:50.912854,110,110,0,-69.0,-65.0,0,
1,2021-02-08T17:59:50.178529,2021-02-08T17:59:51.494116,110,0,110,-68.0,0,-59.0,
1,2021-02-08T17:59:50.567816,2021-02-08T17:59:51.790645,110,110,0,-68.0,-72.0,0,
1,2021-02-08T17:59:51.055407,2021-02-08T17:59:52.469140,110,0,110,-69.0,0,-58.0,
1,2021-02-08T17:59:51.494116,2021-02-08T17:59:52.757899,110,0,110,-68.0,0,-58.0,
1,2021-02-08T17:59:51.933032,2021-02-08T17:59:53.395390,110,110,0,-70.0,-68.0,0,
1,2021-02-08T17:59:52.469140,2021-02-08T17:59:53.586870,110,0,110,-68.0,0,-58.0,
1,2021-02-08T17:59:52.860054,2021-02-08T17:59:54.272897,110,110,0,-68.0,-70.0,0,
1,2021-02-08T17:59:53.395390,2021-02-08T17:59:54.711966,110,0,110,-67.0,0,-59.0,
