Id Usuario,Marca de tiempo inicial,Marca de tiempo final,Tiempo de computo 1,Tiempo de computo 2,Tiempo de computo 3,Tx 1 (dBm),Tx 2 (dBm),Tx 3 (dBm),Lugar
1,2021-02-08T18:32:59.850015,2021-02-08T18:33:02.190155,110,0,0,-65.0,0,0,
1,2021-02-08T18:33:02.190155,2021-02-08T18:33:03.697680,110,110,110,-73.0,-51.0,-69.0,
1,2021-02-08T18:33:03.750340,2021-02-08T18:33:04.972701,110,110,0,-67.0,-51.0,0,
1,2021-02-08T18:33:04.436174,2021-02-08T18:33:05.557480,110,110,0,-69.0,-65.0,0,
1,2021-02-08T18:33:04.972701,2021-02-08T18:33:05.996197,0,110,0,0,-63.0,0,
1,2021-02-08T18:33:05.557480,2021-02-08T18:33:06.727530,110,110,0,-68.0,-66.0,0,
1,2021-02-08T18:33:05.996197,2021-02-08T18:33:07.215521,0,110,0,0,-73.0,0,
1,2021-02-08T18:33:06.727530,2021-02-08T18:33:08.239320,110,110,0,-65.0,-63.0,0,
1,2021-02-08T18:33:07.215521,2021-02-08T18:33:08.239320,0,110,0,0,-64.0,0,
1,2021-02-08T18:33:07.654031,2021-02-08T18:33:08.677703,0,110,0,0,-59.0,0,
1,2021-02-08T18:33:08.239320,2021-02-08T18:33:09.360285,110,110,0,-64.0,-61.0,0,
1,2021-02-08T18:33:08.677703,2021-02-08T18:33:09.847769,0,110,0,0,-64.0,0,
1,2021-02-08T18:33:09.360285,2021-02-08T18:33:10.384405,110,110,0,-69.0,-53.0,0,
1,2021-02-08T18:33:09.847769,2021-02-08T18:33:11.209056,110,110,0,-67.0,-56.0,0,
1,2021-02-08T18:33:10.384405,2021-02-08T18:33:11.846292,0,110,0,0,-56.0,0,
1,2021-02-08T18:33:10.774001,2021-02-08T18:33:11.846292,0,110,0,0,-53.0,0,
1,2021-02-08T18:33:11.310257,2021-02-08T18:33:12.330271,110,110,0,-71.0,-55.0,0,
1,2021-02-08T18:33:11.846292,2021-02-08T18:33:12.967547,0,110,0,0,-60.0,0,
1,2021-02-08T18:33:12.383170,2021-02-08T18:33:13.451520,110,110,0,-72.0,-57.0,0,
1,2021-02-08T18:33:12.967547,2021-02-08T18:33:13.991884,0,110,0,0,-57.0,0,
1,2021-02-08T18:33:13.455326,2021-02-08T18:33:14.527707,110,110,0,-69.0,-56.0,0,
1,2021-02-08T18:33:13.991884,2021-02-08T18:33:15.499145,110,110,0,-73.0,-59.0,0,
1,2021-02-08T18:33:14.527707,2021-02-08T18:33:16.038862,0,110,0,0,-60.0,0,
1,2021-02-08T18:33:14.917540,2021-02-08T18:33:16.038862,0,110,0,0,-60.0,0,
1,2021-02-08T18:33:15.503144,2021-02-08T18:33:16.575424,0,110,0,0,-64.0,0,
1,2021-02-08T18:33:16.038862,2021-02-08T18:33:17.160114,110,110,0,-66.0,-64.0,0,
1,2021-02-08T18:33:16.575424,2021-02-08T18:33:17.696689,0,110,0,0,-61.0,0,
1,2021-02-08T18:33:17.160114,2021-02-08T18:33:18.281394,110,110,0,-74.0,-70.0,0,
1,2021-02-08T18:33:17.696689,2021-02-08T18:33:18.911580,110,110,0,-73.0,-62.0,0,
1,2021-02-08T18:33:18.281394,2021-02-08T18:33:19.500163,0,110,0,0,-62.0,0,
1,2021-02-08T18:33:18.964784,2021-02-08T18:33:20.426379,110,110,0,-66.0,-67.0,0,
1,2021-02-08T18:33:19.500163,2021-02-08T18:33:20.910384,110,110,0,-66.0,-69.0,0,
1,2021-02-08T18:33:19.890298,2021-02-08T18:33:20.910384,0,110,0,0,-64.0,0,
1,2021-02-08T18:33:20.426379,2021-02-08T18:33:21.596437,0,110,0,0,-66.0,0,
1,2021-02-08T18:33:21.011580,2021-02-08T18:33:22.031650,110,110,0,-68.0,-60.0,0,
1,2021-02-08T18:33:21.596437,2021-02-08T18:33:22.766466,0,110,110,0,-69.0,-65.0,
1,2021-02-08T18:33:22.132819,2021-02-08T18:33:23.254150,110,110,0,-66.0,-57.0,0,
1,2021-02-08T18:33:22.766466,2021-02-08T18:33:23.887718,0,110,110,0,-64.0,-63.0,
1,2021-02-08T18:33:23.254150,2021-02-08T18:33:24.221511,110,110,110,-60.0,-61.0,-60.0,
1,2021-02-08T18:33:23.887718,2021-02-08T18:33:24.911708,0,110,0,0,-62.0,0,
1,2021-02-08T18:33:24.472720,2021-02-08T18:33:25.200409,110,110,110,-67.0,-62.0,-61.0,
1,2021-02-08T18:33:24.911708,2021-02-08T18:33:26.033432,0,110,110,0,-66.0,-64.0,
1,2021-02-08T18:33:25.545474,2021-02-08T18:33:26.707788,110,110,110,-63.0,-61.0,-59.0,
1,2021-02-08T18:33:26.033432,2021-02-08T18:33:27.154282,0,110,0,0,-58.0,0,
1,2021-02-08T18:33:26.520913,2021-02-08T18:33:27.491492,110,110,110,-70.0,-59.0,-63.0,
1,2021-02-08T18:33:27.154282,2021-02-08T18:33:28.324274,0,110,0,0,-57.0,0,
1,2021-02-08T18:33:27.641507,2021-02-08T18:33:28.511531,110,110,110,-69.0,-61.0,-63.0,
1,2021-02-08T18:33:28.324274,2021-02-08T18:33:29.543024,0,110,110,0,-61.0,-64.0,
1,2021-02-08T18:33:28.860249,2021-02-08T18:33:30.128328,0,110,110,0,-60.0,-64.0,
1,2021-02-08T18:33:29.543024,2021-02-08T18:33:30.559314,0,110,110,0,-58.0,-63.0,
1,2021-02-08T18:33:30.128328,2021-02-08T18:33:31.152094,110,110,0,-69.0,-59.0,0,
1,2021-02-08T18:33:30.713149,2021-02-08T18:33:31.785623,110,110,0,-66.0,-59.0,0,
1,2021-02-08T18:33:31.152094,2021-02-08T18:33:32.273722,0,110,0,0,-60.0,0,
1,2021-02-08T18:33:31.785623,2021-02-08T18:33:33.394508,0,110,0,0,-59.0,0,
1,2021-02-08T18:33:32.273722,2021-02-08T18:33:33.394508,0,110,0,0,-57.0,0,
1,2021-02-08T18:33:32.760591,2021-02-08T18:33:33.780358,110,110,0,-63.0,-59.0,0,
1,2021-02-08T18:33:33.394508,2021-02-08T18:33:34.515627,0,110,0,0,-60.0,0,
1,2021-02-08T18:33:33.930909,2021-02-08T18:33:35.295301,110,110,0,-65.0,-61.0,0,
1,2021-02-08T18:33:34.515627,2021-02-08T18:33:35.779384,110,110,0,-68.0,-59.0,0,
1,2021-02-08T18:33:34.905659,2021-02-08T18:33:36.465281,0,110,0,0,-61.0,0,
